Gene,log2FoldChange,pvalue,padj,logpvalue,significance
WARS,-0.2582,0.3849,0.9994,0.414652089,Not Significant
WDR25,0.06518,0.6946,0.9994,0.158265221,Not Significant
BEGAIN,0.3296,0.3141,0.9994,0.502932064,Not Significant
RTL1,-0.5982,0.1221,0.9994,0.913284336,Not Significant
MEG8,-0.05352,0.8332,0.9994,0.079250739,Not Significant
DIO3OS,-0.3376,0.3879,0.9994,0.41128022,Not Significant
MIR1247,-0.1993,0.6083,0.9994,0.215882184,Not Significant
PPP2R5C,-0.06288,0.63,0.9994,0.200659451,Not Significant
HSP90AA1,-0.1115,0.6737,0.9994,0.171533453,Not Significant
WDR20,0.1331,0.3068,0.9994,0.513144645,Not Significant
MOK,0.2035,0.4835,0.9994,0.315603522,Not Significant
ZNF839,0.1169,0.5748,0.9994,0.240483241,Not Significant
CINP,0.0726,0.713,0.9994,0.14691047,Not Significant
ANKRD9,0.08959,0.5844,0.9994,0.233289793,Not Significant
RCOR1,-0.2403,0.1547,0.9994,0.810509686,Not Significant
TRAF3,0.2018,0.4448,0.9994,0.351835221,Not Significant
AMN,0.3858,0.3239,0.9994,0.489589052,Not Significant
CDC42BPB,0.04137,0.7476,0.9994,0.126330707,Not Significant
TNFAIP2,-0.04015,0.8512,0.9994,0.069968385,Not Significant
EIF5,0.1755,0.4189,0.9994,0.37788964,Not Significant
MARK3,0.08154,0.3616,0.9994,0.441771578,Not Significant
CKB,0.02396,0.9145,0.9994,0.03881629,Not Significant
TRMT61A,0.05039,0.754,0.9994,0.122628654,Not Significant
APOPT1,0.0841,0.5942,0.9994,0.226067353,Not Significant
KLC1,0.3184,0.133,0.9994,0.876148359,Not Significant
XRCC3,-0.2479,0.3254,0.9994,0.487582451,Not Significant
ZFYVE21,-0.1871,0.1289,0.9994,0.889747083,Not Significant
PPP1R13B,0.05767,0.7869,0.9994,0.104080455,Not Significant
LOC145216,-0.3029,0.4121,0.9994,0.384997385,Not Significant
C14orf2,-0.09001,0.6563,0.9994,0.182897596,Not Significant
KIF26A,0.3112,0.2563,0.9994,0.591251394,Not Significant
TMEM179,0.2724,0.1929,0.9994,0.714667772,Not Significant
INF2,-0.2788,0.3495,0.9994,0.45655282,Not Significant
SIVA1,-0.08907,0.6633,0.9994,0.178290003,Not Significant
AKT1,0.08075,0.5473,0.9994,0.261774552,Not Significant
ZBTB42,0.05464,0.875,0.9994,0.057991947,Not Significant
MGC23270,-0.05701,0.8828,0.9994,0.054137676,Not Significant
KIAA0284,0.0361,0.8979,0.9994,0.046772028,Not Significant
PLD4,-0.2653,0.4967,0.9994,0.30390584,Not Significant
C14orf79,0.0838,0.8025,0.9994,0.095554959,Not Significant
CDCA4,-0.3083,0.2896,0.9994,0.538201442,Not Significant
GPR132,-0.2962,0.4145,0.9994,0.382475465,Not Significant
JAG2,-0.1704,0.5302,0.9994,0.275560277,Not Significant
NUDT14,-0.3235,0.2079,0.9994,0.682145511,Not Significant
BRF1,0.165,0.4956,0.9994,0.304868702,Not Significant
BTBD6,0.02233,0.8956,0.9994,0.047885915,Not Significant
PACS2,0.0476,0.6282,0.9994,0.201902068,Not Significant
TEX22,-0.1162,0.7455,0.9994,0.127552352,Not Significant
MTA1,-0.1497,0.6227,0.9994,0.205721134,Not Significant
CRIP2,-0.02828,0.9022,0.9994,0.044697177,Not Significant
CRIP1,-0.1535,0.6898,0.9994,0.16127681,Not Significant
C14orf80,-0.106,0.7631,0.9994,0.117418546,Not Significant
HERC2P3,0.05975,0.8542,0.9994,0.068440433,Not Significant
NBEAP1,0.1002,0.7396,0.9994,0.131003098,Not Significant
LOC646214,0.0757,0.8241,0.9994,0.084020086,Not Significant
TUBGCP5,0.08321,0.6905,0.9994,0.160836317,Not Significant
NIPA2,0.0591,0.7419,0.9994,0.129654629,Not Significant
NIPA1,0.06191,0.7578,0.9994,0.120445399,Not Significant
LOC283683,0.09339,0.801,0.9994,0.096367484,Not Significant
HERC2P2,-0.3594,0.282,0.9994,0.549750892,Not Significant
MKRN3,0.1556,0.6673,0.9994,0.175678875,Not Significant
MAGEL2,0.1297,0.5987,0.9994,0.222790742,Not Significant
NDN,0.1289,0.4522,0.9994,0.344669442,Not Significant
C15orf2,-0.08068,0.837,0.9994,0.077274542,Not Significant
SNRPN,0.1942,0.5039,0.9994,0.297655642,Not Significant
SNURF,0.1201,0.7594,0.9994,0.119529407,Not Significant
PAR-SN,0.01672,0.9456,0.9994,0.024292536,Not Significant
PAR5,0.01154,0.9664,0.9994,0.014843079,Not Significant
SNORD116-1,0.0632,0.8719,0.9994,0.059533322,Not Significant
SNORD116-4,0.1283,0.6167,0.9994,0.209926052,Not Significant
SNORD116-20,0.2863,0.4353,0.9994,0.361211333,Not Significant
SNORD116-21,0.3172,0.3224,0.9994,0.491604967,Not Significant
SNORD116-22,0.4697,0.2276,0.9994,0.642827742,Not Significant
SNORD116-23,-0.5062,0.1875,0.9994,0.726998728,Not Significant
SNORD116-24,0.03705,0.9215,0.9994,0.03550466,Not Significant
SNORD116-26,-0.08459,0.8212,0.9994,0.085551059,Not Significant
IPW,0.08969,0.6042,0.9994,0.218819279,Not Significant
PAR1,0.1267,0.7422,0.9994,0.12947905,Not Significant
SNORD115-13,0.3761,0.2626,0.9994,0.580705278,Not Significant
UBE3A,0.02201,0.8472,0.9994,0.072014053,Not Significant
ATP10A,-0.1836,0.6333,0.9994,0.198390512,Not Significant
GABRB3,0.3418,0.1784,0.9994,0.74860515,Not Significant
GABRA5,0.06786,0.8417,0.9994,0.074842673,Not Significant
GABRG3,0.07818,0.8393,0.9994,0.076082777,Not Significant
OCA2,-0.06897,0.8557,0.9994,0.067678468,Not Significant
HERC2,-0.04497,0.779,0.9994,0.108462542,Not Significant
HERC2P9,0.2462,0.4448,0.9994,0.351835221,Not Significant
WHAMMP2,-0.1208,0.7363,0.9994,0.1329452,Not Significant
LOC646278,0.4151,0.2492,0.9994,0.603451962,Not Significant
FAM189A1,0.452,0.1498,0.9994,0.824488187,Not Significant
TJP1,-0.2014,0.447,0.9994,0.349692477,Not Significant
CHRFAM7A,-0.2011,0.608,0.9994,0.216096421,Not Significant
ARHGAP11B,-0.3435,0.3051,0.9994,0.515557792,Not Significant
LOC100288637,-0.4209,0.1606,0.9994,0.794254459,Not Significant
MTMR10,-0.1659,0.2187,0.9994,0.660151217,Not Significant
LOC283710,-0.1581,0.6731,0.9994,0.171920409,Not Significant
KLF13,-0.1352,0.3587,0.9994,0.445268623,Not Significant
OTUD7A,0.1206,0.7127,0.9994,0.147093241,Not Significant
CHRNA7,0.2479,0.3816,0.9994,0.418391634,Not Significant
LOC100288615,-0.5348,0.1692,0.9994,0.771599641,Not Significant
ARHGAP11A,-0.4729,0.1076,0.9994,0.968187729,Not Significant
SCG5,0.3143,0.4227,0.9994,0.373967752,Not Significant
FMN1,0.1992,0.5786,0.9994,0.237621571,Not Significant
RYR3,0.3399,0.2757,0.9994,0.559563234,Not Significant
AVEN,-0.2178,0.4507,0.9994,0.346112442,Not Significant
CHRM5,-0.01691,0.9642,0.9994,0.015832873,Not Significant
C15orf24,0.02319,0.8851,0.9994,0.053007659,Not Significant
PGBD4,0.1884,0.478,0.9994,0.320572103,Not Significant
C15orf29,0.063,0.8009,0.9994,0.096421706,Not Significant
TMEM85,0.2185,0.4246,0.9994,0.37202001,Not Significant
SLC12A6,0.05729,0.6646,0.9994,0.177439663,Not Significant
NOP10,-0.0191,0.9045,0.9994,0.043591429,Not Significant
C15orf55,-0.2548,0.489,0.9994,0.310691141,Not Significant
GOLGA8B,-0.04796,0.891,0.9994,0.050122296,Not Significant
AQR,0.1012,0.5799,0.9994,0.236646891,Not Significant
ZNF770,0.07504,0.4315,0.9994,0.3650192,Not Significant
ANP32AP1,-0.04897,0.784,0.9994,0.105683937,Not Significant
ATPBD4,0.003388,0.99,0.9994,0.004364805,Not Significant
LOC100507466,-0.063,0.8646,0.9994,0.063184769,Not Significant
C15orf41,-0.2038,0.4484,0.9994,0.348334396,Not Significant
CSNK1A1P1,-0.1517,0.5927,0.9994,0.227165073,Not Significant
LOC145845,-0.074,0.8472,0.9994,0.072014053,Not Significant
MEIS2,0.2486,0.354,0.9994,0.450996738,Not Significant
SPRED1,-0.1088,0.697,0.9994,0.156767222,Not Significant
FAM98B,0.04531,0.8455,0.9994,0.072886388,Not Significant
FSIP1,-0.09019,0.8012,0.9994,0.096259059,Not Significant
GPR176,0.2223,0.5352,0.9994,0.271483895,Not Significant
EIF2AK4,-0.1743,0.2533,0.9994,0.59636481,Not Significant
SRP14,-0.03241,0.7634,0.9994,0.117247844,Not Significant
LOC100131089,0.3193,0.2307,0.9994,0.636952405,Not Significant
BMF,-0.5079,0.1367,0.9994,0.864231485,Not Significant
PAK6,0.385,0.3017,0.9994,0.52042469,Not Significant
C15orf56,-0.21,0.5921,0.9994,0.227604939,Not Significant
ANKRD63,-0.1702,0.6411,0.9994,0.193074223,Not Significant
C15orf52,-0.1265,0.7336,0.9994,0.134540677,Not Significant
DISP2,0.4101,0.1274,0.9994,0.894830572,Not Significant
C15orf23,0.01432,0.9494,0.9994,0.022550773,Not Significant
IVD,-0.1704,0.5186,0.9994,0.285167488,Not Significant
BAHD1,-0.1101,0.6547,0.9994,0.183957659,Not Significant
CHST14,-0.3098,0.4234,0.9994,0.373249146,Not Significant
MRPL42P5,0.01823,0.9536,0.9994,0.020633758,Not Significant
C15orf57,-0.01537,0.9335,0.9994,0.029885678,Not Significant
RPUSD2,0.2304,0.3652,0.9994,0.437469231,Not Significant
LOC100505648,0.07688,0.8266,0.9994,0.082704599,Not Significant
RAD51,-0.4211,0.2611,0.9994,0.583193128,Not Significant
FAM82A2,0.1454,0.5558,0.9994,0.255081458,Not Significant
GCHFR,0.02188,0.928,0.9994,0.032452024,Not Significant
DNAJC17,0.02676,0.8712,0.9994,0.059882133,Not Significant
C15orf62,0.02886,0.9282,0.9994,0.032358436,Not Significant
ZFYVE19,0.1245,0.4315,0.9994,0.3650192,Not Significant
SPINT1,-0.3764,0.2612,0.9994,0.583026827,Not Significant
RHOV,0.004927,0.9864,0.9994,0.005946936,Not Significant
VPS18,0.1188,0.6525,0.9994,0.185419484,Not Significant
DLL4,-0.1082,0.7817,0.9994,0.106959888,Not Significant
CHAC1,-0.1561,0.6223,0.9994,0.206000199,Not Significant
INO80,-0.02753,0.8455,0.9994,0.072886388,Not Significant
OIP5-AS1,0.1144,0.5452,0.9994,0.263444153,Not Significant
OIP5,-0.2885,0.3675,0.9994,0.434742657,Not Significant
NUSAP1,-0.4758,0.1146,0.9994,0.940815382,Not Significant
NDUFAF1,0.1153,0.6884,0.9994,0.162159138,Not Significant
RTF1,0.09307,0.4472,0.9994,0.349498205,Not Significant
ITPKA,-0.3086,0.4052,0.9994,0.392330563,Not Significant
LTK,-0.4882,0.2119,0.9994,0.673869043,Not Significant
RPAP1,0.06652,0.6669,0.9994,0.175939283,Not Significant
TYRO3,-0.1656,0.4043,0.9994,0.393296259,Not Significant
MAPKBP1,0.03422,0.9087,0.9994,0.041579472,Not Significant
JMJD7,-0.2059,0.5061,0.9994,0.295763663,Not Significant
PLA2G4B,0.05317,0.892,0.9994,0.049635146,Not Significant
SPTBN5,0.00855,0.9778,0.9994,0.009749967,Not Significant
EHD4,-0.08111,0.7825,0.9994,0.106515654,Not Significant
VPS39,-0.04379,0.8754,0.9994,0.057793458,Not Significant
TMEM87A,0.07894,0.4444,0.9994,0.35222595,Not Significant
GANC,0.1778,0.5002,0.9994,0.300856313,Not Significant
CAPN3,0.3315,0.3252,0.9994,0.487849463,Not Significant
ZFP106,-0.1161,0.4664,0.9994,0.331241458,Not Significant
HAUS2,-0.04642,0.7732,0.9994,0.111708155,Not Significant
STARD9,-0.2516,0.4684,0.9994,0.329383114,Not Significant
CDAN1,-0.07284,0.624,0.9994,0.20481541,Not Significant
TTBK2,0.167,0.5768,0.9994,0.238974748,Not Significant
UBR1,0.1517,0.3302,0.9994,0.481222931,Not Significant
TMEM62,0.08914,0.7397,0.9994,0.130944381,Not Significant
CCNDBP1,-0.1022,0.5444,0.9994,0.264081883,Not Significant
LCMT2,0.2946,0.4405,0.9994,0.356054087,Not Significant
ADAL,0.0891,0.7071,0.9994,0.150519163,Not Significant
TUBGCP4,0.07929,0.693,0.9994,0.159266765,Not Significant
TP53BP1,0.0744,0.5112,0.9994,0.291409155,Not Significant
MAP1A,0.1245,0.6666,0.9994,0.176134691,Not Significant
CKMT1B,-0.08141,0.7964,0.9994,0.098868749,Not Significant
STRC,0.249,0.5212,0.9994,0.282995593,Not Significant
CKMT1A,0.3091,0.3914,0.9994,0.407379179,Not Significant
CATSPER2P1,-0.05897,0.8662,0.9994,0.062381821,Not Significant
ELL3,0.1627,0.5111,0.9994,0.291494119,Not Significant
SERF2,-0.05133,0.7603,0.9994,0.11901501,Not Significant
MFAP1,0.1777,0.4282,0.9994,0.368353337,Not Significant
WDR76,-0.03226,0.9308,0.9994,0.031143625,Not Significant
FRMD5,0.1863,0.5134,0.9994,0.289544136,Not Significant
LOC728758,-0.02765,0.8982,0.9994,0.046626949,Not Significant
CASC4,-0.05333,0.8333,0.9994,0.079198618,Not Significant
CTDSPL2,-0.08318,0.6174,0.9994,0.209433375,Not Significant
LOC645212,0.1653,0.3255,0.9994,0.487449007,Not Significant
EIF3J,0.07603,0.6121,0.9994,0.213177621,Not Significant
SPG11,-0.1043,0.649,0.9994,0.187755303,Not Significant
PATL2,0.594,0.1296,0.9994,0.887394998,Not Significant
TRIM69,-0.1647,0.6355,0.9994,0.196884445,Not Significant
SORD,-0.1242,0.4517,0.9994,0.345149909,Not Significant
DUOX2,0.06779,0.8604,0.9994,0.065299598,Not Significant
DUOXA1,-0.04897,0.8945,0.9994,0.048419655,Not Significant
SHF,0.2221,0.1106,0.9994,0.956244873,Not Significant
SLC28A2,0.248,0.5095,0.9994,0.292855812,Not Significant
GATM,-0.0295,0.8932,0.9994,0.049051286,Not Significant
SPATA5L1,-0.1068,0.5548,0.9994,0.255863548,Not Significant
C15orf48,-0.624,0.109,0.9994,0.962573502,Not Significant
SLC30A4,-0.06969,0.7739,0.9994,0.111315153,Not Significant
HMGN2P46,-0.1154,0.7634,0.9994,0.117247844,Not Significant
PLDN,0.1771,0.2355,0.9994,0.628009089,Not Significant
SQRDL,-0.1533,0.642,0.9994,0.192464972,Not Significant
SEMA6D,0.1451,0.4695,0.9994,0.328364403,Not Significant
SLC24A5,0.05869,0.8274,0.9994,0.082284483,Not Significant
MYEF2,0.02827,0.87,0.9994,0.060480747,Not Significant
CTXN2,0.03708,0.9224,0.9994,0.035080706,Not Significant
SLC12A1,0.1864,0.6343,0.9994,0.197705289,Not Significant
DUT,0.01145,0.9385,0.9994,0.027565723,Not Significant
EID1,0.1083,0.6644,0.9994,0.177570376,Not Significant
COPS2,-0.1237,0.5924,0.9994,0.22738495,Not Significant
GALK2,0.04194,0.746,0.9994,0.127261173,Not Significant
C15orf33,0.07648,0.8185,0.9994,0.086981316,Not Significant
FGF7,-0.6264,0.1102,0.9994,0.957818405,Not Significant
DTWD1,-0.05606,0.812,0.9994,0.090443971,Not Significant
ATP8B4,-0.1168,0.7659,0.9994,0.11582793,Not Significant
SLC27A2,0.5873,0.1114,0.9994,0.953114809,Not Significant
HDC,-0.0285,0.9398,0.9994,0.026964559,Not Significant
GABPB1,-0.06529,0.741,0.9994,0.130181792,Not Significant
LOC100129387,-0.03186,0.9324,0.9994,0.030397735,Not Significant
USP8,-0.06553,0.7224,0.9994,0.141222263,Not Significant
TRPM7,-0.2305,0.3143,0.9994,0.502655619,Not Significant
SPPL2A,-0.1672,0.6292,0.9994,0.201211286,Not Significant
AP4E1,0.03596,0.862,0.9994,0.064492734,Not Significant
LOC100132724,0.02612,0.9352,0.9994,0.029095502,Not Significant
TNFAIP8L3,-0.2959,0.4495,0.9994,0.347270304,Not Significant
CYP19A1,0.4681,0.2221,0.9994,0.653451441,Not Significant
GLDN,0.11,0.7788,0.9994,0.108574057,Not Significant
DMXL2,0.1002,0.4808,0.9994,0.318035541,Not Significant
LYSMD2,0.1996,0.5584,0.9994,0.25305459,Not Significant
TMOD2,0.2819,0.3568,0.9994,0.447575154,Not Significant
TMOD3,-0.2087,0.292,0.9994,0.534617149,Not Significant
LEO1,0.07321,0.4374,0.9994,0.359121221,Not Significant
MAPK6,-0.02826,0.9285,0.9994,0.032218092,Not Significant
GNB5,0.01662,0.92,0.9994,0.036212173,Not Significant
MYO5C,-0.2722,0.4666,0.9994,0.331055266,Not Significant
MYO5A,0.2553,0.1741,0.9994,0.759201229,Not Significant
ARPP19,-0.04451,0.756,0.9994,0.121478204,Not Significant
FAM214A,0.1147,0.5701,0.9994,0.244048959,Not Significant
ONECUT1,-0.2189,0.5762,0.9994,0.239426746,Not Significant
WDR72,-0.5259,0.1716,0.9994,0.765482716,Not Significant
UNC13C,0.3784,0.3166,0.9994,0.499489089,Not Significant
RSL24D1,-0.03458,0.8928,0.9994,0.049245818,Not Significant
PIGB,-0.3469,0.1364,0.9994,0.86518563,Not Significant
CCPG1,-0.4018,0.1111,0.9994,0.954285941,Not Significant
FLJ27352,-0.06532,0.8604,0.9994,0.065299598,Not Significant
DYX1C1,0.1221,0.7542,0.9994,0.122513472,Not Significant
PYGO1,0.1687,0.3517,0.9994,0.453827632,Not Significant
PRTG,-0.3308,0.3686,0.9994,0.433444669,Not Significant
NEDD4,-0.3036,0.2917,0.9994,0.535063571,Not Significant
RFX7,-0.1147,0.5812,0.9994,0.235674394,Not Significant
TEX9,0.004381,0.9901,0.9994,0.004320939,Not Significant
MNS1,0.2145,0.5828,0.9994,0.234480457,Not Significant
ZNF280D,0.2342,0.515,0.9994,0.288192771,Not Significant
LOC145783,0.3355,0.1858,0.9994,0.73095429,Not Significant
TCF12,0.1484,0.5178,0.9994,0.285837954,Not Significant
LOC283663,-0.1185,0.7476,0.9994,0.126330707,Not Significant
CGNL1,-0.6101,0.1177,0.9994,0.929223537,Not Significant
MYZAP,-0.5309,0.1738,0.9994,0.759950228,Not Significant
POLR2M,-0.1137,0.3764,0.9994,0.424350385,Not Significant
ALDH1A2,0.1451,0.709,0.9994,0.149353765,Not Significant
ADAM10,-0.08833,0.4335,0.9994,0.363010898,Not Significant
FAM63B,-0.1015,0.6414,0.9994,0.192871044,Not Significant
SLTM,-0.1435,0.3631,0.9994,0.439973751,Not Significant
RNF111,-0.006951,0.968,0.9994,0.014124643,Not Significant
MYO1E,-0.3152,0.364,0.9994,0.438898616,Not Significant
FAM81A,0.2414,0.4669,0.9994,0.330776126,Not Significant
GCNT3,0.01802,0.962,0.9994,0.016824928,Not Significant
GTF2A2,0.1226,0.6535,0.9994,0.184754408,Not Significant
BNIP2,-0.04146,0.8031,0.9994,0.095230374,Not Significant
FOXB1,-0.08923,0.7712,0.9994,0.112832979,Not Significant
NARG2,-0.1518,0.5588,0.9994,0.252743603,Not Significant
RORA,-0.02965,0.9112,0.9994,0.040386289,Not Significant
VPS13C,-0.2683,0.1233,0.9994,0.909036923,Not Significant
C2CD4A,0.2466,0.5294,0.9994,0.276216063,Not Significant
C2CD4B,0.01326,0.9716,0.9994,0.012512494,Not Significant
TLN2,0.07935,0.7867,0.9994,0.10419085,Not Significant
LACTB,-0.1246,0.5644,0.9994,0.248412995,Not Significant
RPS27L,-0.2052,0.4252,0.9994,0.371406744,Not Significant
RAB8B,0.1412,0.3327,0.9994,0.477947199,Not Significant
APH1B,-0.004091,0.9838,0.9994,0.007093182,Not Significant
CA12,-0.2987,0.3962,0.9994,0.402085529,Not Significant
LOC100130855,-0.4518,0.2492,0.9994,0.603451962,Not Significant
FBXL22,0.02808,0.9385,0.9994,0.027565723,Not Significant
HERC1,0.2031,0.4883,0.9994,0.311313276,Not Significant
DAPK2,-0.08696,0.803,0.9994,0.095284455,Not Significant
FAM96A,-0.08157,0.6107,0.9994,0.21417208,Not Significant
SNX1,-0.114,0.5308,0.9994,0.275069086,Not Significant
SNX22,0.1459,0.6112,0.9994,0.213816654,Not Significant
CSNK1G1,-0.002226,0.9881,0.9994,0.005199101,Not Significant
KIAA0101,-0.3706,0.2775,0.9994,0.556737013,Not Significant
TRIP4,-0.005214,0.9774,0.9994,0.009927665,Not Significant
ZNF609,-0.01832,0.9393,0.9994,0.027195678,Not Significant
OAZ2,0.08332,0.5741,0.9994,0.241012453,Not Significant
PLEKHO2,-0.301,0.1553,0.9994,0.808828544,Not Significant
ANKDD1A,-0.1194,0.6511,0.9994,0.186352305,Not Significant
SPG21,-0.216,0.2217,0.9994,0.654234307,Not Significant
MTFMT,-0.04965,0.8449,0.9994,0.07319469,Not Significant
OSTBETA,0.01844,0.9608,0.9994,0.017367006,Not Significant
UBAP1L,0.2691,0.4734,0.9994,0.324771746,Not Significant
PDCD7,-0.02968,0.8129,0.9994,0.089962876,Not Significant
CLPX,-0.05453,0.5254,0.9994,0.279509932,Not Significant
PARP16,-0.2565,0.2144,0.9994,0.668775219,Not Significant
IGDCC3,-0.1175,0.762,0.9994,0.118045029,Not Significant
DPP8,-0.02215,0.8472,0.9994,0.072014053,Not Significant
PTPLAD1,0.1364,0.5737,0.9994,0.24131515,Not Significant
C15orf44,0.1166,0.6748,0.9994,0.170824926,Not Significant
SLC24A1,-0.2247,0.5331,0.9994,0.273191317,Not Significant
DENND4A,0.1448,0.4182,0.9994,0.378615972,Not Significant
RAB11A,-0.1443,0.3949,0.9994,0.403512866,Not Significant
MEGF11,-0.2441,0.3627,0.9994,0.440452444,Not Significant
DIS3L,-0.1691,0.5952,0.9994,0.225337077,Not Significant
TIPIN,0.2619,0.3842,0.9994,0.415442639,Not Significant
MAP2K1,-0.1895,0.2889,0.9994,0.539252458,Not Significant
SNAPC5,0.2544,0.2492,0.9994,0.603451962,Not Significant
RPL4,-0.295,0.2921,0.9994,0.534468443,Not Significant
SNORD18C,-0.4236,0.2589,0.9994,0.58686795,Not Significant
SNORD16,-0.2209,0.5531,0.9994,0.257196342,Not Significant
ZWILCH,0.1652,0.5183,0.9994,0.285418791,Not Significant
LCTL,-0.2592,0.5088,0.9994,0.293452897,Not Significant
SMAD6,-0.2292,0.483,0.9994,0.316052869,Not Significant
SMAD3,-0.1576,0.4402,0.9994,0.356349962,Not Significant
AAGAB,-0.05165,0.7863,0.9994,0.104411724,Not Significant
IQCH,-0.06374,0.851,0.9994,0.07007044,Not Significant
LOC100506686,-0.1034,0.725,0.9994,0.139661993,Not Significant
C15orf61,-0.08824,0.7775,0.9994,0.109299602,Not Significant
MAP2K5,-0.101,0.688,0.9994,0.162411562,Not Significant
PIAS1,-0.01332,0.9551,0.9994,0.019951155,Not Significant
CALML4,-0.1778,0.3998,0.9994,0.39815721,Not Significant
CLN6,-0.2608,0.393,0.9994,0.40560745,Not Significant
FEM1B,0.0653,0.7343,0.9994,0.134126472,Not Significant
CORO2B,0.3458,0.2072,0.9994,0.683610249,Not Significant
ANP32A,-0.05388,0.7603,0.9994,0.11901501,Not Significant
ANP32A-IT1,-0.1478,0.6918,0.9994,0.160019442,Not Significant
LINC00277,0.2278,0.5285,0.9994,0.276955008,Not Significant
GLCE,-0.09408,0.6628,0.9994,0.1786175,Not Significant
RPLP1,-0.3608,0.1925,0.9994,0.715569266,Not Significant
LOC145837,0.2389,0.4841,0.9994,0.315064917,Not Significant
TLE3,0.08338,0.8021,0.9994,0.095771484,Not Significant
LARP6,-0.08692,0.7268,0.9994,0.138585081,Not Significant
THAP10,0.02304,0.9188,0.9994,0.036779013,Not Significant
LRRC49,-0.1863,0.4805,0.9994,0.318306608,Not Significant
THSD4,-0.114,0.7583,0.9994,0.120158944,Not Significant
NR2E3,-0.04278,0.9122,0.9994,0.039909932,Not Significant
MYO9A,0.03907,0.8339,0.9994,0.078886026,Not Significant
SENP8,0.09326,0.7133,0.9994,0.146727776,Not Significant
GRAMD2,-0.4448,0.2364,0.9994,0.626352528,Not Significant
PKM2,-0.07668,0.7839,0.9994,0.105739336,Not Significant
PARP6,0.09679,0.7622,0.9994,0.117931056,Not Significant
CELF6,0.3687,0.1808,0.9994,0.742801574,Not Significant
HEXA,-0.2083,0.1815,0.9994,0.741123371,Not Significant
C15orf34,0.2469,0.4974,0.9994,0.303294219,Not Significant
ARIH1,0.117,0.6526,0.9994,0.185352931,Not Significant
BBS4,0.09049,0.7527,0.9994,0.123378084,Not Significant
ADPGK,-0.1467,0.5914,0.9994,0.22811868,Not Significant
LOC100287559,-0.1085,0.7796,0.9994,0.10812817,Not Significant
HCN4,0.199,0.5861,0.9994,0.232028279,Not Significant
NPTN,0.07739,0.6642,0.9994,0.177701129,Not Significant
LOC100287616,-0.03836,0.9144,0.9994,0.038863783,Not Significant
LOXL1,-0.5418,0.1539,0.9994,0.81276138,Not Significant
PML,-0.2004,0.4387,0.9994,0.357832366,Not Significant
ISLR2,0.05065,0.8759,0.9994,0.057545474,Not Significant
CCDC33,-0.5198,0.1406,0.9994,0.852014679,Not Significant
CYP11A1,-0.6012,0.1144,0.9994,0.941573976,Not Significant
SEMA7A,0.1225,0.7516,0.9994,0.124013229,Not Significant
UBL7,0.1007,0.573,0.9994,0.241845378,Not Significant
LOC440288,-0.1761,0.5265,0.9994,0.278601624,Not Significant
ARID3B,-0.09398,0.7897,0.9994,0.102537862,Not Significant
CLK3,-0.2051,0.5037,0.9994,0.297828049,Not Significant
EDC3,0.01132,0.9546,0.9994,0.02017857,Not Significant
CYP1A1,-0.1569,0.6596,0.9994,0.180719353,Not Significant
LMAN1L,0.2848,0.4403,0.9994,0.356251315,Not Significant
ULK3,0.08538,0.657,0.9994,0.18243463,Not Significant
SCAMP2,-0.2192,0.3084,0.9994,0.510885631,Not Significant
MPI,-0.0815,0.7312,0.9994,0.135963817,Not Significant
C15orf17,-0.0793,0.8128,0.9994,0.090016305,Not Significant
COX5A,0.003818,0.9866,0.9994,0.005858889,Not Significant
SCAMP5,0.2862,0.3464,0.9994,0.460422117,Not Significant
PPCDC,0.08727,0.8162,0.9994,0.08820341,Not Significant
C15orf39,-0.1856,0.5187,0.9994,0.285083752,Not Significant
COMMD4,-0.2633,0.3911,0.9994,0.407712184,Not Significant
NEIL1,-0.2486,0.3479,0.9994,0.458545571,Not Significant
MIR631,-0.2109,0.5731,0.9994,0.241769592,Not Significant
MAN2C1,-0.1506,0.6607,0.9994,0.179995693,Not Significant
SIN3A,-0.07207,0.6091,0.9994,0.2153114,Not Significant
PTPN9,-0.05406,0.7762,0.9994,0.110026362,Not Significant
SNUPN,-0.05669,0.8369,0.9994,0.077326432,Not Significant
IMP3,0.1889,0.4768,0.9994,0.321663753,Not Significant
SNX33,-0.3452,0.156,0.9994,0.806875402,Not Significant
ODF3L1,-0.332,0.397,0.9994,0.401209493,Not Significant
FBXO22,0.1304,0.2193,0.9994,0.658961368,Not Significant
NRG4,0.3628,0.3015,0.9994,0.520712684,Not Significant
C15orf27,0.529,0.1259,0.9994,0.89997427,Not Significant
ETFA,-0.1401,0.3684,0.9994,0.433680378,Not Significant
TYRO3P,-0.1982,0.5461,0.9994,0.262727823,Not Significant
SCAPER,-0.008627,0.9735,0.9994,0.011664044,Not Significant
PSTPIP1,0.3084,0.4206,0.9994,0.376130732,Not Significant
TSPAN3,-0.004097,0.9704,0.9994,0.013049212,Not Significant
PEAK1,0.07395,0.786,0.9994,0.104577454,Not Significant
HMG20A,0.07546,0.5078,0.9994,0.294307303,Not Significant
LINGO1,0.146,0.6894,0.9994,0.161528721,Not Significant
LOC253044,0.5668,0.1436,0.9994,0.84284556,Not Significant
LOC645752,0.1841,0.6242,0.9994,0.204676236,Not Significant
LOC91450,-0.1624,0.6576,0.9994,0.182038195,Not Significant
SH2D7,-0.1248,0.7333,0.9994,0.134718315,Not Significant
